0,首都,北京,,北京 首都|beijingshoudu|PEK,beijingshoudu,PEK,
1,虹桥,上海,,上海 虹桥|shanghaihongqiao|SHA,shanghaihongqiao,SHA,
2,浦东,上海,,上海 浦东|shanghaipudong|PVG,shanghaipudong,PVG,
3,白云,广州,,广州 白云|guangzhoubaiyun|CAN,guangzhoubaiyun,CAN,
4,宝安,深圳,,深圳 宝安|shenzhenbaoan|SZX,shenzhenbaoan,SZX,
5,双流,成都,,成都 双流|chengdushuangliu|CTU,chengdushuangliu,CTU,
6,长水,昆明,,昆明 长水|kunmingchangshui|KMG,kunmingchangshui,KMG,
7,咸阳,西安,,西安 咸阳|xianxianyang|XIY,xianxianyang,XIY,
8,萧山,杭州,,杭州 萧山|hangzhouxiaoshan|HGH,hangzhouxiaoshan,HGH,
9,江北,重庆,,重庆 江北|chongqingjiangbei|CKG,chongqingjiangbei,CKG,
10,南苑,北京,,北京 南苑|beijingnanyuan|NAY,beijingnanyuan,NAY,
11,曲阜,济宁,,济宁 曲阜|jiningqufu|JNG,jiningqufu,JNG,
12,衢州,衢州,,衢州 衢州|quzhou|JUZ,quzhou,JUZ,
13,库车,库车,,库车 库车|kuche|KCA,kuche,KCA,
14,龙洞堡,贵阳,,贵阳 龙洞堡|guiyanglongdongbao|KWE,guiyanglongdongbao,KWE,
15,中川,兰州,,兰州 中川|lanzhouzhongchuan|LHW,lanzhouzhongchuan,LHW,
16,三义,丽江,,丽江 三义|lijiangsanyi|LJG,lijiangsanyi,LJG,
17,贡嘎,拉萨,,拉萨 贡嘎|lasagongga|LXA,lasagongga,LXA,
18,北郊,洛阳,,洛阳 北郊|luoyangbeijiao|LYA,luoyangbeijiao,LYA,
19,沭埠岭,临沂,,临沂 沭埠岭|linyishubuling|LYI,linyishubuling,LYI,
20,白莲,柳州,,柳州 白莲|liuzhoubailian|LZH,liuzhoubailian,LZH,
21,禄口,南京,,南京 禄口|nanjinglukou|NKG,nanjinglukou,NKG,
22,兴东,南通,,南通 兴东|nantongxingdong|NTG,nantongxingdong,NTG,
23,萨尔图,大庆,,大庆 萨尔图|daqingsaertu|DQA,daqingsaertu,DQA,
24,田阳,百色,,百色 田阳|baisetianyang|AEB,baisetianyang,AEB,
25,阿拉山口,博乐,,博乐 阿拉山口|bolealashankou|BPL,bolealashankou,BPL,
26,赛乌苏,二连浩特,,二连浩特 赛乌苏|erlianhaote|ERL,erlianhaote,ERL,
27,盘龙,广元,,广元 盘龙|guangyuanpanlong|GYS,guangyuanpanlong,GYS,
28,六盘山,固原,,固原 六盘山|guyuanliupanshan|GYU,guyuanliupanshan,GYU,
29,黎平,黎平,,黎平 黎平|liping|HZH,liping,HZH,
30,舟白,黔江,,黔江 舟白|qianjiangzhoubai|JIQ,qianjiangzhoubai,JIQ,
31,康定,甘孜,,甘孜 康定|ganzikangding|KGT,ganzikangding,KGT,
32,喀纳斯,布尔津,,布尔津 喀纳斯|buerjinkanasi|KJI,buerjinkanasi,KJI,
33,林都,伊春,,伊春 林都|yichunlindu|LDS,yichunlindu,LDS,
34,荔波,黔南州,,黔南州 荔波|qiannanzhoulipo|LLB,qiannanzhoulipo,LLB,
35,长白山,白山,,白山 长白山|baishanchangbaishan|NBS,baishanchangbaishan,NBS,
36,昆莎,阿里,,阿里 昆莎|alikunsha|NGQ,alikunsha,NGQ,
37,许家坪,恩施,,恩施 许家坪|enshixujiaping|ENH,enshixujiaping,ENH,
38,鄂尔多斯,鄂尔多斯,,鄂尔多斯 鄂尔多斯|eerduosi|DSN,eerduosi,DSN,
39,普陀山,舟山,,舟山 普陀山|zhoushanputuoshan|HSN,zhoushanputuoshan,HSN,
40,关公,运城,,运城 关公|yunchengzhangxiao|YCU,yunchengzhangxiao,YCU,
41,地窝堡,乌鲁木齐,,乌鲁木齐 地窝堡|wulumuqidiwobao|URC,wulumuqidiwobao,URC,
42,黄花,长沙,,长沙 黄花|changshahuanghuo|CSX,changshahuanghuo,CSX,
43,金川,金昌,,金昌 金川|jinzhou|JIC,jinzhou,JIC,
44,西郊,满洲里,,满洲里 西郊|manzhoulixijiao|NZH,manzhoulixijiao,NZH,
45,驼峰,腾冲,,腾冲 驼峰|tengchongtuofeng|TCZ,tengchongtuofeng,TCZ,
46,邯郸,邯郸,,邯郸 邯郸|handan|HDG,handan,HDG,
47,白塔,呼和浩特,,呼和浩特 白塔|huhehaote|HET,huhehaote,HET,
48,新桥,合肥,,合肥 新桥|hefeiluogang|HFE,hefeiluogang,HFE,
49,东山,海拉尔,,海拉尔 东山|hailaerdongshang|HLD,hailaerdongshang,HLD,
50,哈密,哈密,,哈密 哈密|hami|HMI,hami,HMI,
51,霍坦,和田,,和田 霍坦|hetianhuodan|HTN,hetianhuodan,HTN,
52,路桥,台州,,台州 路桥|taizhouluqiao|HYN,taizhouluqiao,HYN,
53,且末,且末,,且末 且末|qiemo|IQM,qiemo,IQM,
54,庆阳,庆阳,,庆阳 庆阳|qingyang|IQN,qingyang,IQN,
55,罗家,景德镇,,景德镇 罗家|jingdezhenluojia|JDZ,jingdezhenluojia,JDZ,
56,西双版纳,景洪,,景洪 西双版纳|jinghong|JHG,jinghong,JHG,
57,晋江,泉州,,泉州 晋江|quanzhoujinjiang|JJN,quanzhoujinjiang,JJN,
58,小岭子,锦州,,锦州 小岭子|jinzhouxiaolingzi|JNZ,jinzhouxiaolingzi,JNZ,
59,昌北,南昌,,南昌 昌北|nanchangchangbei|KHN,nanchangchangbei,KHN,
60,克拉玛依,克拉玛依,,克拉玛依 克拉玛依|kalamayi|KRY,kalamayi,KRY,
61,两江,桂林,,桂林 两江|guilinliangjiang|KWL,guilinliangjiang,KWL,
62,芒市,德宏,,德宏 芒市|dehongmangshi|LUM,dehongmangshi,LUM,
63,蓝田,泸州,,泸州 蓝田|luzhouliantian|LZO,luzhouliantian,LZO,
64,海浪 ,牡丹江,,牡丹江 海浪 |mudanjianghailang|MDG,mudanjianghailang,MDG,
65,长岗岌,梅县,,梅县 长岗岌|meixianchanggangji|MXZ,meixianchanggangji,MXZ,
66,三家子,齐齐哈尔,,齐齐哈尔 三家子|qiqihaersanjiazi|NDG,qiqihaersanjiazi,NDG,
67,古莲 ,漠河,,漠河 古莲 |mohegulian|OHE,mohegulian,OHE,
68,正定,石家庄,,石家庄 正定|shijiazhuangzhengding|SJW,shijiazhuangzhengding,SJW,
69,思茅,普洱,,普洱 思茅|puersimao|SYM,puersimao,SYM,
70,通辽,通辽,,通辽 通辽|tongliao|TGO,tongliao,TGO,
71,大水泊,威海,,威海 大水泊|weihaidashuipo|WEH,weihaidashuipo,WEH,
72,苏南硕放,无锡,,无锡 苏南硕放|wuxisunanshuofang|WUX,wuxisunanshuofang,WUX,
73,襄阳,襄阳,,襄阳 襄阳|xiangyangjichang|XFN,xiangyangjichang,XFN,
74,观音,徐州,,徐州 观音|xuzhouguanyin|XUZ,xuzhouguanyin,XUZ,
75,朝阳川,延吉,,延吉 朝阳川|yanjichaoyangchuan|YNJ,yanjichaoyangchuan,YNJ,
76,湛江,湛江,,湛江 湛江|zhanjiang|ZHA,zhanjiang,ZHA,
77,新舟,遵义,,遵义 新舟|zunyixinzhou|ZYI,zunyixinzhou,ZYI,
78,三峡,宜昌,,宜昌 三峡|yichangsanxia|YIH,yichangsanxia,YIH,
79,莱山,烟台,,烟台 莱山|yantailaishan|YNT,yantailaishan,YNT,
80,王村,长治,,长治 王村|changzhiwangcun|CIH,changzhiwangcun,CIH,
81,河市,达州,,达州 河市|dazhouheshi|DAX,dazhouheshi,DAX,
82,美兰,海口,,海口 美兰|haikoumeilan|HAK,haikoumeilan,HAK,
83,黄龙,九寨沟,,九寨沟 黄龙|jiuzhaihuanglong|JZH,jiuzhaihuanglong,JZH,
84,南郊,绵阳,,绵阳 南郊|mianyangnanjiao|MIG,mianyangnanjiao,MIG,
85,龙嘉,长春,,长春 龙嘉|changchunlongjia|CGQ,changchunlongjia,CGQ,
86,玉龙,赤峰,,赤峰 玉龙|chifengyulong|CIF,chifengyulong,CIF,
87,大长山岛,长海,,长海 大长山岛|changhaidachangdao|CNI,changhaidachangdao,CNI,
88,奔牛,常州,,常州 奔牛|changzhoubenniu|CZX,changzhoubenniu,CZX,
89,倍加皂,大同,,大同 倍加皂|datongbeijiazao|DAT,datongbeijiazao,DAT,
90,浪头,丹东,,丹东 浪头|dandonglangtou|DDG,dandonglangtou,DDG,
91,香格里拉,迪庆,,迪庆 香格里拉|diqingxianggelila|DIG,diqingxianggelila,DIG,
92,周水子,大连,,大连 周水子|dalianzhoushuizi|DLC,dalianzhoushuizi,DLC,
93,敦煌,敦煌,,敦煌 敦煌|dunhuang|DNH,dunhuang,DNH,
94,东营,东营,,东营 东营|dongying|DOY,dongying,DOY,
95,荷花,张家界,,张家界 荷花|zhangjiajiehehua|DYG,zhangjiajiehehua,DYG,
96,二十里堡,延安,,延安 二十里堡|yananershilibao|ENY,yananershilibao,ENY,
97,佛山,佛山,,佛山 佛山|foshan|FUO,foshan,FUO,
98,加格达奇,加格达奇,,加格达奇 加格达奇|jiagedaqi|JGD,jiagedaqi,JGD,
99,和平,日喀则,,日喀则 和平|rikezeheping|RKZ,rikezeheping,RKZ,
100,天吉泰,巴彦淖尔,,巴彦淖尔 天吉泰|bayannaoertianjitai|RLK,bayannaoertianjitai,RLK,
101,伊尔施,阿尔山,,阿尔山 伊尔施|aershanyiershi|YIE,aershanyiershi,YIE,
102,张掖,张掖,,张掖 张掖|zhangye|YZY,zhangye,YZY,
103,曹家堡,西宁,,西宁 曹家堡|xiningcaojiabao|XNN,xiningcaojiabao,XNN,
104,菜坝,宜宾,,宜宾 菜坝|yibincaiba|YBP,yibincaiba,YBP,
105,保山云端,保山,,保山 保山云端|baoshanyunduan|BSD,baoshanyunduan,BSD,
106,河东,银川,,银川 河东|yinchuan|INC,yinchuan,INC,
107,桃仙,沈阳,,沈阳 桃仙|shenyangtaoxian|SHE,shenyangtaoxian,SHE,
108,西关,阜阳,,阜阳 西关|fuyangxiguan|FUG,fuyangxiguan,FUG,
109,涟水,淮安,,淮安 涟水|huaianlianshui|HIA,huaianlianshui,HIA,
110,兴凯湖,鸡西,,鸡西 兴凯湖|jixixingkaihu|JXA,jixixingkaihu,JXA,
111,冠豸山,连城,,连城 冠豸山|lianchengguanzhishan|LCX,lianchengguanzhishan,LCX,
112,米林,林芝,,林芝 米林|linzhimilin|LZY,linzhimilin,LZY,
113,那拉提,那拉提,,那拉提 那拉提|nalati|NLT,nalati,NLT,
114,榆阳,榆林,,榆林 榆阳|yulinyuyang|UYN,yulinyuyang,UYN,
115,滨海,天津,,天津 滨海|tianjinbinhai|TSN,tianjinbinhai,TSN,
116,泰州,扬州,,扬州 泰州|yangzhoutaizhou|YTY,yangzhoutaizhou,YTY,
117,喀什,喀什,,喀什 喀什|keshi|KHG,keshi,KHG,
118,高坪,南充,,南充 高坪|naochonggaoping|NAO,naochonggaoping,NAO,
119,流亭,青岛,,青岛 流亭|qingdaoliuting|TAO,qingdaoliuting,TAO,
120,龙湾,温州,,温州 龙湾|wenzhouyongqiang|WNZ,wenzhouyongqiang,WNZ,
121,昭通,昭通,,昭通 昭通|zhaotong|ZAT,zhaotong,ZAT,
122,阿勒泰,阿勒泰,,阿勒泰 阿勒泰|aletai|AAT,aletai,AAT,
123,临沧,临沧,,临沧 临沧|lincang|LNJ,lincang,LNJ,
124,桃花源,常德,,常德 桃花源|changdetaohuayuan|CGD,changdetaohuayuan,CGD,
125,吴圩 ,南宁,,南宁 吴圩 |nanningwuxu|NNG,nanningwuxu,NNG,
126,库尔勒,库尔勒,,库尔勒 库尔勒|kuerle|KRL,kuerle,KRL,
127,安庆,安庆,,安庆 安庆|anqing|AQG,anqing,AQG,
128,塔城,塔城,,塔城 塔城|tacheng|TCG,tacheng,TCG,
129,天河,武汉,,武汉 天河|wuhantianhe|WUH,wuhantianhe,WUH,
130,青山,西昌,,西昌 青山|xichangqingshan|XIC,xichangqingshan,XIC,
131,南洋,盐城,,盐城 南洋|yanchengnanyang|YNZ,yanchengnanyang,YNZ,
132,长乐,福州,,福州 长乐|fuzhouchangle|FOC,fuzhouchangle,FOC,
133,格尔木,格尔木,,格尔木 格尔木|geermu|GOQ,geermu,GOQ,
134,黑河,黑河,,黑河 黑河|heihe|HEK,heihe,HEK,
135,芷江,怀化,,怀化 芷江|huahuazhijiang|HJJ,huahuazhijiang,HJJ,
136,乌兰浩特,乌兰浩特,,乌兰浩特 乌兰浩特|wulanhaote|HLH,wulanhaote,HLH,
137,太平,哈尔滨,,哈尔滨 太平|haerbintaiping|HRB,haerbintaiping,HRB,
138,西关,汉中,,汉中 西关|hanzhongxiguan|HZG,hanzhongxiguan,HZG,
139,井冈山,井冈山,,井冈山 井冈山|jinggangshan|JGS,jinggangshan,JGS,
140,庐山,九江,,九江 庐山|jiujianglushan|JIU,jiujianglushan,JIU,
141,麦积山,天水,,天水 麦积山|tianshuimaijishan|THQ,tianshuimaijishan,THQ,
142,交河,吐鲁番,,吐鲁番 交河|tulufanjiaohe|TLQ,tulufanjiaohe,TLQ,
143,三女河,唐山,,唐山 三女河|tangshansannvhe|TVS,tangshansannvhe,TVS,
144,巴塘,玉树,,玉树 巴塘|yushubatang|YUS,yushubatang,YUS,
145,香山,中卫,,中卫 香山|zhongweixiangshan|ZHY,zhongweixiangshan,ZHY,
146,普者黑,文山,,文山 普者黑|wenshanpuzhehei|WNH,wenshanpuzhehei,WNH,
147,宝安营,攀枝花,,攀枝花 宝安营|panzhihuobaoanying|PZI,panzhihuobaoanying,PZI,
148,山海关,秦皇岛,,秦皇岛 山海关|qinhuangdaohaiguan|SHP,qinhuangdaohaiguan,SHP,
149,凤凰,三亚,,三亚 凤凰|sanyafenghuang|SYX,sanyafenghuang,SYX,
150,凤凰,铜仁,,铜仁 凤凰|tongrenfenghuang|TEN,tongrenfenghuang,TEN,
151,遥墙,济南,,济南 遥墙|jinanyaoqiang|TNA,jinanyaoqiang,TNA,
152,屯溪,黄山,,黄山 屯溪|huangshantunxi|TXN,huangshantunxi,TXN,
153,乌海,乌海,,乌海 乌海|wuhai|WUA,wuhai,WUA,
154,武夷山,武夷山,,武夷山 武夷山|wuyishan|WUS,wuyishan,WUS,
155,长州岛,梧州,,梧州 长州岛|wuzhouchangzhoudao|WUZ,wuzhouchangzhoudao,WUZ,
156,锡林浩特,锡林浩特,,锡林浩特 锡林浩特|xilinhaote|XIL,xilinhaote,XIL,
157,兴义,兴义,,兴义 兴义|xingyi|ACX,xingyi,ACX,
158,安康,安康,,安康 安康|ankang|AKA,ankang,AKA,
159,阿克苏,阿克苏,,阿克苏 阿克苏|akesu|AKU,akesu,AKU,
160,腾鳌,鞍山,,鞍山 腾鳌|anshantengao|AOG,anshantengao,AOG,
161,黄果树,安顺,,安顺 黄果树|anshunhuangguoshu|AVA,anshunhuangguoshu,AVA,
162,二里半,包头,,包头 二里半|baotouerliban|BAV,baotouerliban,BAV,
163,福成,北海,,北海 福成|beihaifucheng|BHY,beihaifucheng,BHY,
164,昌都邦达,昌都,,昌都 昌都邦达|changdubangda|BPX,changdubangda,BPX,
165,东郊,佳木斯,,佳木斯 东郊|jiamusidongjiao|JMU,jiamusidongjiao,JMU,
166,黄金,赣州,,赣州 黄金|ganzhouhuangjin|KOW,ganzhouhuangjin,KOW,
167,零陵,永州,,永州 零陵|yongzhoulingling|LLF,yongzhoulingling,LLF,
168,白塔埠,连云港,,连云港 白塔埠|lianyungangbaita|LYG,lianyungangbaita,LYG,
169,姜营,南阳,,南阳 姜营|nanyangjiangying|NNY,nanyangjiangying,NNY,
170,揭阳潮汕,汕头,,汕头 揭阳潮汕|jieyangchaoshan|SWA,jieyangchaoshan,SWA,
171,武宿,太原,,太原 武宿|taiyuanwusu|TYN,taiyuanwusu,TYN,
172,潍坊,潍坊,,潍坊 潍坊|weifang|WEF,weifang,WEF,
173,五桥,万州,,万州 五桥|wanxianwuqiao|WXN,wanxianwuqiao,WXN,
174,高崎,厦门,,厦门 高崎|xiamengaoqi|XMN,xiamengaoqi,XMN,
175,伊宁,伊宁,,伊宁 伊宁|yining|YIN,yining,YIN,
176,金湾,珠海,,珠海 金湾|zhuhaijinwan|ZUH,zhuhaijinwan,ZUH,
177,义乌,义乌,,义乌 义乌|yiwu|YIW,yiwu,YIW,
178,朝阳,朝阳,,朝阳 朝阳|chaoyang|CHG,chaoyang,CHG,
179,大理,大理,,大理 大理|dali|DLU,dali,DLU,
180,嘉峪关,嘉峪关,,嘉峪关 嘉峪关|jiayuguan|JGN,jiayuguan,JGN,
181,栎社,宁波,,宁波 栎社|ningbolishe|NGB,ningbolishe,NGB,
182,新郑,郑州,,郑州 新郑|zhengzhouxinzheng|CGO,zhengzhouxinzheng,CGO,
183,张家口,张家口,,张家口 张家口|zhangjiakou|ZQZ,zhangjiakou,ZQZ,
184,宜春明月山,宜春,,宜春 宜春明月山|yichun|YIC,yichun,YIC,
185,毕节飞雄,毕节,,毕节 毕节飞雄|bijie|BFJ,bijie,BFJ,
186,九华山,池州,,池州 九华山|jiuhuashan|JUH,jiuhuashan,JUH,
